Id,Nombre,Tipo,Localidad,Provincia,Latitud,Longitud,Altura,Id Interno,Ubicacion,Desde,Hasta
350,Puerto Piramides - EEA Chubut,Nimbus THP,Puerto Pirámides,Chubut,-42.54,-64.29,85,A872855,Ruta Prov Nº2 (Altura Pto. Piramides),17/05/2012,29/01/2020
497,Quimilí - EEA E Santiago,Nimbus THP,Quimilí,Santiago del Estero,-27.54,-62.35,137,A872955,"Ruta Provincial 6, Km 14. CP: 3740",09/09/2015,23/08/2020
292,Rafaela - EEA Rafaela,Nimbus THP,Rafaela,Santa Fe,-31.2,-61.5,9977,A872862,"Ruta 34 Km 227, CP 2300",18/11/2011,23/09/2020
640,Raices,Omixom,Sin asignar,Entre Rios,-31.82,-59.22,0,31003,Villaguay,03/05/2017,14/01/2019
432,Rama Caida - EEA Rama Caida,Nimbus THP,Rama Caída,Mendoza,-34.67,-68.39,692,A872933,El vivero s/n. Dto. San Rafael. CP:5603,19/03/2014,23/09/2019
586,Ramada Paso,Omixom,Sin asignar,Corrientes,-27.29,-58.32,0,92004,Itati,31/03/2017,24/10/2018
541,Ramirez,Omixom,Sin asignar,Entre Rios,-32.15,-60.19,0,91018,Diamante,31/03/2017,12/01/2019
473,Rauch - EEA Cuenca Salado,Nimbus THP,Rauch,Buenos Aires,-36.8,-59.11,103,A872837,,20/11/2014,23/09/2020
608,Raíces Oeste,Omixom,Sin asignar,Entre Rios,-31.85,-59.56,0,91067,Villaguay,31/03/2017,29/10/2017
294,Reconquista - EEA Reconquista,Nimbus THP,Reconquista,Santa Fe,-29.26,-59.71,75,A872865,"Ruta 11 Km 773, CP:3560",11/11/2011,04/08/2019
394,Recreo - EEA Catamarca,Nimbus THP,Recreo,Catamarca,-29.28,-65.08,226,A872886,"Ruta Prov. N 20 s/n, Dto. La PazCP: 5260",27/02/2013,05/08/2018
644,Rincon del Gená,Omixom,Sin asignar,Entre Rios,-32.52,-58.58,0,31007,Uruguay,04/07/2017,13/01/2019
661,Rincon Ombu,EBY,Sin asignar,Sin asignar,-27.32,-56.37,0,EBY25,Emplazado sobre la margen izquierda del Rio pa...,12/06/2017,18/12/2017
556,Rincón de Nogoyá,Omixom,Sin asignar,Entre Rios,-32.78,-59.91,0,91035,Victoria,31/03/2017,12/01/2019
300,Rio Colorado - EEA Alto Valle,Nimbus THP,Río Colorado,Río Negro,-39.02,-64.08,79,A872847,Moreno 695. CP: 8138,05/06/2012,23/09/2020
